Date,Close
2020-01-01,101.76405234596767
2020-01-02,102.16420955433489
2020-01-03,103.14294753844062
2020-01-04,105.38384073764209
2020-01-05,107.25139872779205
2020-01-06,106.27412084791564
2020-01-07,107.22420926544123
2020-01-08,107.07285205714354
2020-01-09,106.96963320534998
2020-01-10,107.38023170728835
2020-01-11,107.52427527844922
2020-01-12,108.9785487854122
2020-01-13,109.73958651055919
2020-01-14,109.86126152705202
2020-01-15,110.30512475979745
2020-01-16,110.63879908717172
2020-01-17,112.13287816032931
2020-01-18,111.92771989656352
2020-01-19,112.24078759821441
2020-01-20,111.3866918589127
2020-01-21,108.83370204307862
2020-01-22,109.48732063851898
2020-01-23,110.35175683737847
2020-01-24,109.60959181697204
2020-01-25,111.87934644095964
2020-01-26,110.42498076636087
2020-01-27,110.47073928366233
2020-01-28,110.2835554336365
2020-01-29,111.81633464799495
2020-01-30,113.28569341789523
2020-01-31,113.44064084359215
2020-02-01,113.81880336319432
2020-02-02,112.93101761556422
2020-02-03,110.95022114734029
2020-02-04,110.60230899801414
2020-02-05,110.75865796711811
2020-02-06,111.98894864784583
2020-02-07,113.19132849663025
2020-02-08,112.8040016792223
2020-02-09,112.50169892864696
2020-02-10,111.45314596357986
2020-02-11,110.03312802640089
2020-02-12,108.32685783577588
2020-02-13,110.27763323100767
2020-02-14,109.76798104925601
2020-02-15,109.32990674764483
2020-02-16,108.0771113875949
2020-02-17,108.85460174342681
2020-02-18,107.24070389586886
2020-02-19,107.0279636156549
2020-02-20,106.13249705446121
2020-02-21,106.51939955232048
2020-02-22,106.0085944147516
2020-02-23,104.8279622306292
2020-02-24,104.79978000229053
2020-02-25,105.22811187282096
2020-02-26,105.29462909520413
2020-02-27,105.59710099294391
2020-02-28,104.96277889926294
2020-02-29,104.6000377332758
2020-03-01,103.92757728549985
2020-03-02,103.5680241239593
2020-03-03,102.75487784191486
2020-03-04,101.02859523958318
2020-03-05,101.20602138183693
2020-03-06,100.80424044562866
2020-03-07,99.17404209866262
2020-03-08,99.6368243541884
2020-03-09,98.72952598980515
2020-03-10,98.7814713856013
2020-03-11,99.51056194777884
2020-03-12,99.63954485853624
2020-03-13,100.77894554307954
2020-03-14,99.5441197227259
2020-03-15,99.94646136390344
2020-03-16,99.26165127296312
2020-03-17,98.39085412378125
2020-03-18,97.81200445901683
2020-03-19,97.50045192688945
2020-03-20,97.5566172691192
2020-03-21,96.39146742833584
2020-03-22,97.29229391529003
2020-03-23,97.7579563550205
2020-03-24,96.22171266874327
2020-03-25,97.70996486253887
2020-03-26,99.60585403856945
2020-03-27,100.7846336097291
2020-03-28,100.60470877391676
2020-03-29,99.5339561524062
2020-03-30,100.58840787933735
2020-03-31,100.18523093236416
2020-04-01,101.4076760027466
2020-04-02,101.61595098082346
2020-04-03,102.59259001730717
2020-04-04,102.94895641448157
2020-04-05,103.65552958267352
2020-04-06,103.66602960339434
2020-04-07,105.45190009730017
2020-04-08,105.57881219000379
2020-04-09,105.98080155344849
